hhid,persid,dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,journey_label,travdow,agegroup,sex,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,persinc_category,hhsize,dwelltype,owndwell,aveagegroup_5,hhinc_group,hhinc_category,homelga
Y24H5740131,Y24H5740131P02,Weekday,vehicle driver,70,21.92181,70.0,946.335436235,melb - outer,greater melbourne,0.0,1,Wednesday,45->49,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,6,650,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Being Purchased,30->34,4000,high,C
Y24H5740331,Y24H5740331P01,Weekday,vehicle driver,10,1.03956,10.0,1108.648322595,melb - inner,greater melbourne,0.0,1,Wednesday,60->64,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,2,2000,Yes,1,0,0,1,0,0,0,No,high,2,Separate House,Fully Owned,60->64,2500,medium,C
Y24H5740340,Y24H5740340P01,Weekday,vehicle driver,35,11.99826,35.0,641.679404901,melb - inner,greater melbourne,0.0,1,Friday,55->59,Female,Full Licence,0,0,No,1,0,0,1,No Study,Keeping House,Full-time Work,Self-Employed,At Home,10,800,Yes,0,0,1,0,0,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,35->39,800,low,C
Y24H5740505,Y24H5740505P01,Weekday,vehicle driver,29,17.22882,29.0,477.382773928,melb - outer,greater melbourne,0.0,1,Friday,35->39,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Self-Employed,At Home,5,1,No,0,0,0,0,0,0,0,No,low,3,Separate House,Being Rented,20->24,1,low,C
Y24H5740505,Y24H5740505P01,Weekday,vehicle driver,37,28.58858,37.0,477.382773928,melb - outer,greater melbourne,0.0,1,Friday,35->39,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Self-Employed,At Home,5,1,No,0,0,0,0,0,0,0,No,low,3,Separate House,Being Rented,20->24,1,low,C
Y24H5740510,Y24H5740510P02,Weekday,train,53,44.30265,75.0,306.537486477,melb - outer,greater melbourne,22.0,1,Wednesday,35->39,Female,Learners Permit,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Employer,At Home,10,1250,Yes,1,0,1,1,1,0,0,No,medium,3,Separate House,Being Rented,25->29,4500,high,C
Y24H5740517,Y24H5740517P01,Weekday,vehicle driver,29,18.98942,29.0,992.235991306,melb - outer,greater melbourne,0.0,1,Wednesday,35->39,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,7,1500,No,0,0,0,0,0,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,35->39,2000,medium,C
Y24H5740517,Y24H5740517P02,Weekday,vehicle passenger,12,7.01617,12.0,649.109169529,melb - outer,greater melbourne,0.0,1,Wednesday,35->39,Female,Learners Permit,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,3,650,No,0,0,0,0,0,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,35->39,2000,medium,C
Y24H5740530,Y24H5740530P02,Weekday,vehicle driver,29,16.82733,29.0,488.765064209,melb - outer,greater melbourne,0.0,1,Tuesday,45->49,Male,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,5,3000,Yes,0,1,1,1,1,0,0,No,high,3,Separate House,Being Rented,35->39,5000,high,C
Y24H5740533,Y24H5740533P01,Weekday,vehicle driver,60,42.70477,60.0,402.847679723,melb - outer,greater melbourne,0.0,1,Friday,35->39,Male,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,4,400,No,0,0,0,0,0,0,0,No,low,4,Separate House,Fully Owned,20->24,400,low,C
Y24H5740533,Y24H5740533P02,Weekday,vehicle driver,30,13.38469,30.0,503.610819361,melb - outer,greater melbourne,0.0,1,Friday,35->39,Female,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,4,0,No,0,0,0,0,0,0,0,No,low,4,Separate House,Fully Owned,20->24,400,low,C
Y24H5740536,Y24H5740536P01,Weekday,vehicle driver,12,9.24683,12.0,610.972399041,melb - outer,greater melbourne,0.0,1,Monday,25->29,Female,Full Licence,0,0,No,0,0,0,0,No Study,No other activity,Other,Not in Work Force,At Home,6,1750,Not in Work Force,0,0,0,0,0,0,0,Not in Work Force,high,1,Separate House,Being Purchased,25->29,1750,medium,C
Y24H5740539,Y24H5740539P01,Weekday,vehicle driver,20,19.52765,20.0,477.981506367,melb - outer,greater melbourne,0.0,1,Thursday,25->29,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,650,No,0,0,0,0,0,0,0,No,medium,2,Separate House,Being Rented,25->29,1250,low,C
Y24H5740539,Y24H5740539P02,Weekday,vehicle passenger,20,19.52765,20.0,597.537655488,melb - outer,greater melbourne,0.0,1,Thursday,25->29,Female,Learners Permit,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,650,Missing/Refused,0,0,0,0,0,0,0,No,medium,2,Separate House,Being Rented,25->29,1250,low,C
Y24H5750123,Y24H5750123P01,Weekday,vehicle driver,4,1.94153,4.0,610.56982043,melb - outer,greater melbourne,0.0,1,Tuesday,70->74,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,7,500,No,0,0,0,0,0,0,0,No,low,2,Separate House,Fully Owned,70->74,500,low,S
Y24H5750123,Y24H5750123P01,Weekday,vehicle driver,3,1.94153,3.0,610.56982043,melb - outer,greater melbourne,0.0,1,Tuesday,70->74,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,7,500,No,0,0,0,0,0,0,0,No,low,2,Separate House,Fully Owned,70->74,500,low,S
Y24H5750208,Y24H5750208P01,Weekday,vehicle driver,35,20.61367,35.0,453.38197222,melb - middle,greater melbourne,0.0,1,Monday,65->69,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,2000,No,0,0,0,0,0,0,0,No,high,2,Separate House,Fully Owned,60->64,3000,medium,C
Y24H5750208,Y24H5750208P02,Weekday,vehicle driver,30,18.65665,30.0,943.817870751,melb - middle,greater melbourne,0.0,1,Monday,60->64,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,800,Missing/Refused,0,0,0,0,0,0,0,No,medium,2,Separate House,Fully Owned,60->64,3000,medium,C
Y24H5750217,Y24H5750217P01,Weekday,vehicle driver,26,17.35503,26.0,482.756360268,melb - middle,greater melbourne,0.0,1,Wednesday,55->59,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1750,No,0,0,0,0,0,0,0,No,high,2,"Unit, Flat or Apartment",Fully Owned,40->44,3000,medium,C
Y24H5750217,Y24H5750217P02,Weekday,vehicle driver,7,5.34105,7.0,842.910830617,melb - middle,greater melbourne,0.0,1,Wednesday,20->24,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1000,No,0,0,0,0,0,0,0,No,medium,2,"Unit, Flat or Apartment",Fully Owned,40->44,3000,medium,C
Y24H5750218,Y24H5750218P01,Weekday,train,42,18.75461,50.0,648.35110364,melb - middle,greater melbourne,8.0,1,Thursday,50->54,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,12,2000,No,0,0,0,0,0,0,0,No,high,1,"Unit, Flat or Apartment",Being Purchased,50->54,2500,medium,C
Y24H5750224,Y24H5750224P01,Weekday,vehicle driver,60,18.61169,60.0,2638.999146045,melb - middle,greater melbourne,0.0,1,Wednesday,55->59,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,4,800,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Fully Owned,35->39,800,low,C
Y24H5750233,Y24H5750233P01,Weekday,vehicle driver,25,17.11809,25.0,795.260765041,melb - middle,greater melbourne,0.0,1,Friday,20->24,Male,Green Probationary Licence,0,0,No,0,0,1,1,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,At Home,2,150,No,0,0,0,0,0,0,0,No,low,4,"Unit, Flat or Apartment",Being Rented,20->24,300,low,C
Y24H5750235,Y24H5750235P02,Weekend,vehicle driver,20,9.22855,20.0,1376.586534104,melb - middle,greater melbourne,0.0,1,Sunday,45->49,Female,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,2,1,Yes,1,1,1,1,1,0,0,No,low,4,Separate House,Being Purchased,40->44,5000,high,C
Y24H5750239,Y24H5750239P01,Weekday,vehicle driver,35,13.8802,35.0,1517.558354572,melb - middle,greater melbourne,0.0,1,Thursday,55->59,Male,Full Licence,1,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Employer,At Home,2,1000,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Fully Owned,35->39,4500,high,C
Y24H5750239,Y24H5750239P03,Weekday,vehicle driver,60,39.60458,60.0,1393.83663153,melb - middle,greater melbourne,0.0,1,Thursday,25->29,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,300,No,0,0,0,0,0,0,0,No,low,5,Separate House,Fully Owned,35->39,4500,high,C
Y24H5750239,Y24H5750239P05,Weekday,vehicle passenger,35,13.8802,35.0,2364.889079331,melb - middle,greater melbourne,0.0,1,Thursday,20->24,Male,No Car Licence,0,0,Yes,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,500,No,0,0,0,0,0,0,0,No,low,5,Separate House,Fully Owned,35->39,4500,high,C
Y24H5750309,Y24H5750309P02,Weekday,vehicle driver,83,35.70621,85.0,582.490959729,melb - middle,greater melbourne,2.0,1,Tuesday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,5,650,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Fully Owned,35->39,1500,low,C
Y24H5750320,Y24H5750320P03,Weekend,vehicle passenger,5,2.60045,5.0,1213.573257803,melb - middle,greater melbourne,0.0,1,Saturday,15->19,Female,Learners Permit,0,0,No,0,0,1,1,Secondary,No other activity,Secondary School,Paid Employee,At Home,4,150,No,0,0,0,0,0,0,0,No,low,5,Separate House,Being Purchased,25->29,4000,high,C
Y24H5750320,Y24H5750320P04,Weekend,public bus,22,2.94316,30.0,1213.573257803,melb - middle,greater melbourne,8.0,1,Saturday,15->19,Female,Learners Permit,0,0,No,0,0,1,1,Secondary,No other activity,Secondary School,Paid Employee,At Home,6,150,No,0,0,0,0,0,0,0,No,low,5,Separate House,Being Purchased,25->29,4000,high,C
Y24H5750324,Y24H5750324P01,Weekday,vehicle driver,17,7.73723,17.0,560.101828454,melb - middle,greater melbourne,0.0,1,Wednesday,40->44,Male,Full Licence,1,1,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,5,1500,No,0,0,0,0,0,0,0,No,medium,4,"Unit, Flat or Apartment",Being Rented,20->24,1500,low,C
Y24H5750333,Y24H5750333P01,Weekday,vehicle driver,35,24.80787,35.0,1861.535584934,melb - middle,greater melbourne,0.0,1,Friday,55->59,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,3000,No,0,0,0,0,0,0,0,No,high,4,Terrace or Townhouse,Fully Owned,35->39,8000,high,C
Y24H5750401,Y24H5750401P01,Weekday,vehicle driver,30,15.49056,30.0,435.600356185,melb - outer,greater melbourne,0.0,1,Monday,30->34,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,2000,No,0,0,0,0,0,0,0,No,high,4,Separate House,Being Rented,25->29,4000,high,C
Y24H5750401,Y24H5750401P03,Weekday,vehicle driver,60,39.04567,60.0,435.600356185,melb - outer,greater melbourne,0.0,1,Monday,30->34,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,4,1250,No,0,0,0,0,0,0,0,No,medium,4,Separate House,Being Rented,25->29,4000,high,C
Y24H5750403,Y24H5750403P01,Weekday,vehicle driver,17,19.93495,17.0,309.990096313,melb - outer,greater melbourne,0.0,1,Wednesday,40->44,Male,Green Probationary Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,5,1500,No,0,0,0,0,0,0,0,No,medium,5,"Unit, Flat or Apartment",Being Rented,25->29,1500,low,C
Y24H5750403,Y24H5750403P03,Weekday,vehicle driver,11,5.64398,11.0,634.455478952,melb - outer,greater melbourne,0.0,1,Wednesday,20->24,Female,Green Probationary Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,2,800,No,0,0,0,0,0,0,0,No,medium,5,"Unit, Flat or Apartment",Being Rented,25->29,1500,low,C
Y24H5750404,Y24H5750404P02,Weekday,vehicle driver,55,32.22561,55.0,652.772223378,melb - outer,greater melbourne,0.0,1,Thursday,45->49,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,5,1000,No,0,0,0,0,0,0,0,No,medium,3,"Unit, Flat or Apartment",Being Purchased,40->44,1000,low,C
Y24H5750404,Y24H5750404P02,Weekday,vehicle driver,14,8.44761,14.0,652.772223378,melb - outer,greater melbourne,0.0,1,Thursday,45->49,Female,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,5,1000,No,0,0,0,0,0,0,0,No,medium,3,"Unit, Flat or Apartment",Being Purchased,40->44,1000,low,C
Y24H5750412,Y24H5750412P01,Weekday,vehicle driver,37,28.92583,37.0,593.33097035,melb - outer,greater melbourne,0.0,1,Friday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1250,No,0,0,0,0,0,0,0,No,medium,7,Separate House,Being Rented,20->24,2000,medium,C
Y24H5750415,Y24H5750415P01,Weekday,vehicle driver,43,26.37341,46.0,492.179102597,melb - outer,greater melbourne,3.0,1,Monday,40->44,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1500,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Purchased,25->29,2500,medium,C
Y24H5750417,Y24H5750417P02,Weekday,vehicle driver,60,31.27082,75.0,412.385160855,melb - outer,greater melbourne,15.0,1,Wednesday,35->39,Male,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,3,300,No,0,0,0,0,0,0,0,No,low,6,Separate House,Being Purchased,25->29,300,low,C
Y24H5750418,Y24H5750418P01,Weekday,vehicle driver,15,4.08403,15.0,1380.773038408,melb - outer,greater melbourne,0.0,1,Thursday,50->54,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,800,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Rented,30->34,3000,medium,C
Y24H5750418,Y24H5750418P02,Weekday,vehicle driver,19,13.24665,19.0,1408.518434236,melb - outer,greater melbourne,0.0,1,Thursday,50->54,Female,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,2,800,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Rented,30->34,3000,medium,C
Y24H5750418,Y24H5750418P04,Weekday,vehicle passenger,23,17.69918,26.0,821.004997676,melb - outer,greater melbourne,3.0,1,Thursday,15->19,Female,Learners Permit,0,0,No,0,1,0,1,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,At Home,6,650,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Rented,30->34,3000,medium,C
Y24H5750419,Y24H5750419P02,Weekday,vehicle driver,20,18.8833,20.0,654.960438794,melb - outer,greater melbourne,0.0,1,Friday,30->34,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,5,650,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Fully Owned,20->24,1000,low,C
Y24H5750420,Y24H5750420P01,Weekend,vehicle driver,84,39.10472,84.0,268.44579161,melb - outer,greater melbourne,0.0,1,Saturday,40->44,Male,Full Licence,0,0,No,1,0,0,1,Part-time TAFE/Uni,No other activity,Full-time Work,Paid Employee,At Home,7,2000,Yes,0,0,0,0,1,0,0,No,high,1,Separate House,Being Purchased,40->44,2500,medium,C
Y24H5750426,Y24H5750426P02,Weekday,train,62,33.8813,81.0,833.300029383,melb - outer,greater melbourne,19.0,1,Friday,35->39,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,10,1250,Yes,0,0,1,0,0,0,0,No,medium,3,Separate House,Being Purchased,25->29,4500,high,C
Y24H5750430,Y24H5750430P01,Weekday,vehicle driver,63,27.96149,96.0,233.724176394,melb - outer,greater melbourne,33.0,1,Tuesday,35->39,Male,Full Licence,0,0,No,1,0,0,1,Part-time TAFE/Uni,No other activity,Full-time Work,Paid Employee,At Home,9,1250,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Rented,15->19,1250,low,C
Y24H5750431,Y24H5750431P02,Weekday,vehicle driver,27,26.72967,27.0,785.725277756,melb - outer,greater melbourne,0.0,1,Wednesday,30->34,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,1000,No,0,0,0,0,0,0,0,No,medium,2,Separate House,Fully Owned,30->34,3500,medium,C
Y24H5750436,Y24H5750436P02,Weekday,vehicle driver,70,40.40662,70.0,676.477788352,melb - outer,greater melbourne,0.0,1,Monday,35->39,Male,Full Licence,1,1,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1250,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Rented,25->29,300,low,C
Y24H5750437,Y24H5750437P01,Weekday,vehicle driver,34,34.1558,34.0,454.833799575,melb - outer,greater melbourne,0.0,1,Tuesday,35->39,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,3,1250,Yes,1,0,0,0,0,0,0,No,medium,2,Separate House,Being Purchased,35->39,2500,medium,C
Y24H5750442,Y24H5750442P01,Weekend,vehicle driver,30,22.87616,30.0,663.090476682,melb - outer,greater melbourne,0.0,1,Sunday,35->39,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1750,No,0,0,0,0,0,0,0,No,high,2,Separate House,Being Purchased,30->34,2000,medium,C
Y24H5750442,Y24H5750442P02,Weekend,train,38,25.721319999999995,51.0,525.810949524,melb - outer,greater melbourne,13.0,1,Sunday,30->34,Female,No Car Licence,0,0,Yes,0,1,0,1,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,At Home,9,300,No,0,0,0,0,0,0,0,No,low,2,Separate House,Being Purchased,30->34,2000,medium,C
Y24H5760202,Y24H5760202P01,Weekday,vehicle driver,32,21.97216,32.0,273.048878576,melb - outer,greater melbourne,0.0,1,Tuesday,60->64,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1750,No,0,0,0,0,0,0,0,No,high,1,"Unit, Flat or Apartment",Fully Owned,60->64,1750,medium,C
Y24H5760211,Y24H5760211P01,Weekday,walking,10,0.24657,10.0,336.361571273,melb - outer,greater melbourne,0.0,1,Thursday,75->79,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,9,650,No,0,0,0,0,0,0,0,No,medium,1,Separate House,Fully Owned,75->79,650,low,C
Y24H5760232,Y24H5760232P01,Weekday,vehicle driver,24,16.5459,61.0,241.052978536,melb - outer,greater melbourne,37.0,1,Thursday,50->54,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,10,1500,Yes,1,1,1,1,1,0,0,Yes,medium,3,Separate House,Being Purchased,35->39,3000,medium,C
Y24H5760232,Y24H5760232P02,Weekday,vehicle driver,20,16.49247,20.0,403.977008152,melb - outer,greater melbourne,0.0,1,Thursday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,6,1500,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Purchased,35->39,3000,medium,C
Y24H5760236,Y24H5760236P01,Weekday,vehicle driver,50,44.50977,50.0,430.502795256,melb - outer,greater melbourne,0.0,1,Monday,60->64,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,2,1500,No,0,0,0,0,0,0,0,No,medium,2,Separate House,Fully Owned,60->64,2000,medium,C
Y24H5760236,Y24H5760236P02,Weekday,vehicle driver,30,17.33654,30.0,427.32938013,melb - outer,greater melbourne,0.0,1,Monday,60->64,Female,Full Licence,0,0,No,1,0,0,1,No Study,Keeping House,Full-time Work,Paid Employee,At Home,2,500,No,0,0,0,0,0,0,0,No,low,2,Separate House,Fully Owned,60->64,2000,medium,C
Y24H5760237,Y24H5760237P01,Weekday,vehicle driver,30,15.74216,30.0,685.315309558,melb - outer,greater melbourne,0.0,1,Tuesday,30->34,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,5,1500,No,0,0,0,0,0,0,0,No,medium,2,Separate House,Being Purchased,30->34,5000,high,C
Y24H5760237,Y24H5760237P02,Weekday,vehicle driver,30,16.63501,30.0,680.263565427,melb - outer,greater melbourne,0.0,1,Tuesday,30->34,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,3000,Yes,1,0,1,0,0,0,0,No,high,2,Separate House,Being Purchased,30->34,5000,high,C
Y24H5760240,Y24H5760240P01,Weekday,vehicle driver,25,18.21194,25.0,224.064972747,melb - outer,greater melbourne,0.0,1,Friday,55->59,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,3000,No,0,0,0,0,0,0,0,No,high,2,Separate House,Fully Owned,55->59,4500,high,C
Y24H5760326,Y24H5760326P01,Weekday,vehicle driver,20,10.3074,30.0,905.512495177,melb - middle,greater melbourne,10.0,1,Friday,45->49,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Self-Employed,At Home,9,2000,No,0,0,0,0,0,0,0,No,high,2,Terrace or Townhouse,Being Rented,45->49,3500,medium,C
Y24H5760326,Y24H5760326P02,Weekday,vehicle driver,35,15.92315,35.0,771.912267748,melb - middle,greater melbourne,0.0,1,Friday,45->49,Female,Full Licence,0,0,No,1,0,0,1,Part-time TAFE/Uni,No other activity,Full-time Work,Self-Employed,At Home,6,1000,No,0,0,0,0,0,0,0,No,medium,2,Terrace or Townhouse,Being Rented,45->49,3500,medium,C
Y24H5760327,Y24H5760327P02,Weekend,vehicle driver,15,10.19929,15.0,557.399334596,melb - middle,greater melbourne,0.0,1,Saturday,35->39,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,800,No,0,0,0,0,0,0,0,No,medium,3,"Unit, Flat or Apartment",Being Rented,25->29,2500,medium,C
